question,label
 گاه شماری پارسی قدیم به گاه شماری ای گفته می‌شود که در زمان هخامنشیان در کجا رایج بوده است؟,1
 گاه شماری پارسی قدیم به گاه شماری ای گفته می‌شود که در چه زمانی رایج بوده است؟,1
 گاه شماری پارسی قدیم به گاه شماری ای گفته می‌شود که در کجا رایج بوده است؟,1
 آسفالت دوطرفه یا جاده آسفالت دوطرفه چه چیزی است؟,1
 آسفالت دوطرفه یا جاده آسفالت دوطرفه ی محصول چه زمانی است؟,1
 آسفالت دوطرفه یا جاده آسفالت دوطرفه یک فیلم جاده‌ای درام به کارگردانی چه کسی است؟,1
 آسفالت دوطرفه یا جاده آسفالت دوطرفه به کارگردانی چه کسی محصول سال ۱۹۷۱ است؟,1
چه چیزی محصول سال ۱۹۷۱ است؟,1
 حاج شهبازمحله ، کجا است؟,1
 حاج شهبازمحله ، روستایی از توابع کجا است؟,1
 حاج شهبازمحله ، روستایی از توابع بخش کجا در استان گیلان ایران است؟,1
 حاج شهبازمحله ، روستایی از توابع بخش اسالم شهرستان طوالش در کجا است؟,1
کجا،  روستایی از توابع بخش اسالم شهرستان طوالش  است؟,1
کجا  در استان گیلان ایران است؟,1
 جوجه تیغی به چه چیزی گفته می‌شود که در خانواده خارپشت‌ها قرار می‌گیرند؟,1
 د کامان لینتس چه چیزی است؟,1
 د کامان لینتس گروه موسیقی کجایی است؟,1
 در فیزیک به ذرات کوچکتر از اتم چه چیزی گفته می‌شود؟,1
 ضد گلوله فیلمی به کارگردانی و نویسندگی چه کسی و تهیه کنندگی رضا رخشان محصول سال ۱۳۹۰ است؟,1
 ضد گلوله فیلمی به کارگردانی و نویسندگی مصطفی کیایی و تهیه کنندگی چه کسی محصول سال ۱۳۹۰ است؟,1
 ضد گلوله فیلمی به کارگردانی و نویسندگی مصطفی کیایی و تهیه کنندگی رضا رخشان محصول چه زمانی است؟,1
 ضد گلوله فیلمی به کارگردانی و نویسندگی چه کسی است؟,1
 ضد گلوله فیلمی به تهیه کنندگی چه کسی است؟,1
 ضد گلوله محصول چه زمانی است؟,1
 ضد گلوله فیلمی به کارگردانی و نویسندگی مصطفی کیایی و محصول چه زمانی است؟,1
 آا ان هونز یک منطقه مسکونی در کجا با جمعیت ۲۵ ۳۳۳ نفر است که در درنته واقع شده است؟,1
 آا ان هونز یک منطقه مسکونی در هلند با جمعیت چند نفر است که در درنته واقع شده است؟,1
 آا ان هونز یک منطقه مسکونی در هلند با جمعیت ۲۵ ۳۳۳ نفر است که در کجا واقع شده است؟,1
 آا ان هونز یک منطقه مسکونی در کجا است؟,1
 آا ان هونز ی با جمعیت چند نفر است ؟,1
 آا ان هونز  در کجا واقع شده است؟,1
 ب ام و نیو سیکس در چه زمانی تولید شده است؟,1
 ,1
 باب اسکولی فیلم نامه نویس و تهیه کننده تلویزیونی اهل کجا است؟,1
 باب اسکولی اهل کجا است؟,1
چه کسی   در ۱۴ می‌ ۱۹۸۹ در امهرست واقع در نیویورک متولد شده است؟,1
 رابرت جیمز گرانکووسکی یک بازیکن بیسبال کجایی است ؟,1
 رابرت جیمز گرانکووسکی در ۱۴ می‌ ۱۹۸۹ در امهرست واقع در کجا متولد شده است؟,1
 رابرت جیمز گرانکووسکی در ۱۴ می‌ ۱۹۸۹ در کجا واقع در نیویورک متولد شده است؟,1
 رابرت جیمز گرانکووسکی  در چه زمانی در امهرست واقع در نیویورک متولد شده است؟,1
 رابرت جیمز گرانکووسکی در چه زمانی متولد شده است؟,1
چه کسی در امهرست واقع در نیویورک متولد شده است؟,1
 زاخوچویه یک روستا در کجا است که در گمینا بالیگرود واقع شده است؟,1
 زاخوچویه چه چیزی در لهستان است که در گمینا بالیگرود واقع شده است؟,1
 زاخوچویه یک روستا در لهستان است که در کجا واقع شده است؟,1
 زاخوچویه یک روستا در کجا است ؟,1
 زاخوچویه  در کجا واقع شده است؟,1
چه چیزی یک کلاس از زیردریایی است که طول آن ۱۳۸ متر می‌باشد؟,1
 زیردریایی کلاس تریومفانت یک کلاس از زیردریایی است که طول آن چند متر می‌باشد؟,1
چه چیزی طول آن ۱۳۸ متر می‌باشد؟,1
 صادق بیگدلی عضو چه سازمانی است؟,1
 صادق بیگدلی عضو تیم ملی والیبال نشسته کجا است؟,1
 آ پرفکت سرکل از گروه‌های مشهور سبک موسیقی راک کجا است؟,1
 آا ایروسا نام چه چیزی است؟,1
 آا ایروسا چه چیزی است؟,1
 آا ایروسا نام یک گونه از چه چیزی است؟,1
 ,1
 با دیگران فیلمی اجتماعی ، ساخت ایران به کارگردانی و نویسندگی چه کسی محصول سال ۱۳۹۲ است؟,1
 با دیگران فیلمی اجتماعی ، ساخت ایران به کارگردانی و نویسندگی ناصر ضمیری محصول چه زمانی است؟,1
 با دیگران فیلمی اجتماعی ، ساخت کجا است؟,1
 با دیگران فیلمی اجتماعی به کارگردانی و نویسندگی چه کسی است؟,1
 با دیگران فیلمی اجتماعی ، ساخت کجا محصول سال ۱۳۹۲ است؟,1
 با دیگران فیلمی اجتماعی ، به کارگردانی و نویسندگی چه کسی محصول سال ۱۳۹۲ است؟,1
 با دیگران فیلمی اجتماعی به کارگردانی و نویسندگی ناصر ضمیری محصول چه زمانی است؟,1
 باب البام ، روستایی از توابع کجا در استان فارس ایران است؟,1
 باب البام ، روستایی از توابع بخش بیضا شهرستان سپیدان در کجا است؟,1
 باب البام ، روستایی از توابع کجا است؟,1
 باب البام ، روستایی از توابع بخش بیضا شهرستان سپیدان در استان فارس ایران است,1
 جابریله بالدوچی دوچرخه سوار اهل کجا است؟,1
 شیخ عباس قمی معروف به محدث قمی از محدثان شیعی پرکار چه زمانی است؟,1
 شیخ عباس قمی از محدثان شیعی پرکارچه زمانی است؟,1
چه کسی  از محدثان شیعی پرکار قرن چهاردهم هجری است؟,1
 ,1
 جنگ جهانی دوم ، جنگی فراگیر بین چه زمانی تا دوم سپتامبر ۱۹۴۵ بود؟,1
 جنگ جهانی دوم ، جنگی فراگیر بین اول سپتامبر ۱۹۳۹ تا چه زمانی بود؟,1
 د ایکس ایکس گروه ایندی پاپ بریتانیایی است که در چه زمانی ، در واندزورث لندن شکل گرفت؟,1
 د ایکس ایکس گروه ایندی پاپ بریتانیایی است که در سال ۲۰۰۵ ، در کجا شکل گرفت؟,1
 د ایکس ایکس گروه ایندی پاپ کجایی است ؟,1
 د ایکس ایکس در چه زمانی شکل گرفت؟,1
 د ایکس ایکس در کجا شکل گرفت؟,1
 د ایکس ایکس گروه ایندی پاپ بریتانیایی است که در چه زمانی شکل گرفت؟,1
 د ایکس ایکسدر سال ۲۰۰۵ ، در کجا شکل گرفت؟,1
 صاحب حلقه‌ها عنوان ششمین آلبوم استودیویی از گروه پاور متال کجایی هلووین است که در ۱۹۹۴ با همکاری شرکت کستل منتشر شد؟,1
 صاحب حلقه‌ها عنوان ششمین آلبوم استودیویی از گروه پاور متال آلمانی هلووین است که در چه زمانی با همکاری شرکت کستل منتشر شد؟,1
 صاحب حلقه‌ها عنوان ششمین آلبوم استودیویی از گروه پاور متال آلمانی هلووین است که در ۱۹۹۴ با همکاری چه سارمانی منتشر شد؟,1
 صاحب حلقه‌ها عنوان چندمین آلبوم استودیویی از گروه پاور متال آلمانی هلووین است که در ۱۹۹۴ با همکاری شرکت کستل منتشر شد؟,1
 صاحب حلقه‌ها عنوان چندمین آلبوم استودیویی از گروه پاور متال آلمانی هلووین است ؟,1
 صاحب حلقه‌ها عنوان چندمین آلبوم استودیویی  است که در ۱۹۹۴ با همکاری شرکت کستل منتشر شد؟,1
 صاحب حلقه‌ها عنوان چندمین آلبوم استودیویی از گروه پاور متال آلمانی هلووین است که با همکاری شرکت کستل منتشر شد؟,1
 ب ام و سری ۳ کامپکت خودرویی است که در چه زمانی  تا ۲۰۰۰ به تعداد ۳۷۱ ، ۴۹۸ دستگاه تولید شده است؟,1
 ب ام و سری ۳ کامپکت خودرویی است که در سال‌های ۱۹۹۳ تا چه زمانی به تعداد ۳۷۱ ، ۴۹۸ دستگاه تولید شده است؟,1
 ب ام و سری ۳ کامپکت خودرویی است که در سال‌های ۱۹۹۳ تا ۲۰۰۰ به تعداد چند دستگاه تولید شده است؟,1
 ب ام و سری ۳ کامپکت خودرویی است که در چه زمانی تا ۲۰۰۰ تولید شده است؟,1
 ب ام و سری ۳ کامپکت خودرویی است که در سال‌های ۱۹۹۳ تا چه زمانی تولید شده است؟,1
 ب ام و سری ۳ کامپکت خودرویی است که به تعداد چند دستگاه تولید شده است؟,1
 با ریا یک شهر در ویتنام است که در کجا واقع شده است؟,1
 با ریا یک شهر در کجا است ؟,1
 با ریا  در کجا واقع شده است؟,1
 تا آن خونگ یک منطقه مسکونی در کجا است که در استان کا مائو واقع شده است؟,1
 تا آن خونگ یک منطقه مسکونی در ویتنام است که در کجا واقع شده است؟,1
 تا آن خونگ یک منطقه مسکونی در کجا است ؟,1
 تا آن خونگ در کجا واقع شده است؟,1
کجا  یک منطقه مسکونی در ویتنام است ؟,1
کجا در استان کا مائو واقع شده است؟,1
 ثباتو ، روستایی از توابع کجا در استان فارس ایران است؟,1
 ثباتو ، روستایی از توابع بخش مرکزی شهرستان فسا در کجا است؟,1
 کجا ، روستایی از توابع بخش مرکزی شهرستان فسا  است؟,1
 کجا ،در استان فارس ایران است؟,1
 جاده آپیا یا ویا آپیا نام جاده‌ای مهم در جمهوری روم بود که کجا را به بریندیسی در ناحیه پولیا متصل می‌کرد؟,1
 جاده آپیا یا ویا آپیا نام جاده‌ای مهم در جمهوری روم بود که شهر رم را به کجا در ناحیه پولیا متصل می‌کرد؟,1
 جاده آپیا یا ویا آپیا نام جاده‌ای مهم در جمهوری روم بود که شهر رم را به بریندیسی در کجا متصل می‌کرد؟,1
 جاده آپیا یا ویا آپیا نام جاده‌ای مهم در کجا بود ؟,1
 جاده آپیا یا ویا آپیا  کجا را به بریندیسی در ناحیه پولیا متصل می‌کرد؟,1
 جاده آپیا یا ویا آپیا نام  شهر رم را به کجا در ناحیه پولیا متصل می‌کرد؟,1
 جاده آپیا یا ویا آپیا  شهر رم را به بریندیسی در کجا متصل می‌کرد؟,1
 محمود عتیق معروف به چه کسی در سال ۱۲۵۲ هجری شمسی به دنیا آمد و در سال ۱۳۳۵ هجری شمسی در گذشت؟,1
 محمود عتیق معروف به حاج ملاآقاجان زنجانی در چه زمانی به دنیا آمد و در سال ۱۳۳۵ هجری شمسی در گذشت؟,1
 محمود عتیق معروف به حاج ملاآقاجان زنجانی در سال ۱۲۵۲ هجری شمسی به دنیا آمد و در چه زمانی در گذشت؟,1
چه کسی معروف به حاج ملاآقاجان زنجانی در سال ۱۲۵۲ هجری شمسی به دنیا آمد ؟,1
 چه کسی معروف به حاج ملاآقاجان زنجانی  در سال ۱۳۳۵ هجری شمسی در گذشت؟,1
چه کسی  در سال ۱۲۵۲ هجری شمسی به دنیا آمد؟,1
چه کسی  در سال ۱۳۳۵ هجری شمسی در گذشت؟,1
 بردز گروه موسیقی راک آمریکایی بود که چه زمانی در لس آنجلس کالیفرنیا شکل گرفت؟,1
 بردز گروه موسیقی راک آمریکایی بود که سال ۱۹۶۴ در کجا شکل گرفت؟,1
 بردز گروه موسیقی راک کجایی بود که سال ۱۹۶۴شکل گرفت؟,1
 بردز گروه موسیقی راک آمریکایی بود که چه زمانی  شکل گرفت؟,1
 بردز گروه موسیقی راک کجایی بود ؟,1
 بردز چه زمانی در لس آنجلس کالیفرنیا شکل گرفت؟,1
 بردز  سال ۱۹۶۴ در کجا  شکل گرفت؟,1
 راب دی هاون گیتاریست گروه کجایی ام کنسپیریسی است؟,1
 رابا وژنا یک روستا در کجا است که در گمینا رابا وژنا واقع شده است؟,1
 رابا وژنا یک روستا در لهستان است که در کجا واقع شده است؟,1
 رابا وژنا یک روستا در کجا است ؟,1
کجا یک روستا در لهستان است؟,1
کجا در گمینا رابا وژنا واقع شده است؟,1
 رابا وژنا در کجا واقع شده است؟,1
 زابیژکی یک روستا در کجا است که در گمینا تسلستنوو واقع شده است؟,1
 زابیژکی یک روستا در لهستان است که در کجا واقع شده است؟,1
 زابیژکی یک روستا در کجا است ؟,1
 زابیژکی در کجا واقع شده است؟,1
 کجا  یک روستا در لهستان است؟,1
 کجا  در گمینا تسلستنوو واقع شده است؟,1
 سابرینا ویکتوریا ا سپل من یک شخصیت خیالی و قهرمان اصلی مجموعه کمیک سابرینا ساحره نوجوان از چه سازمانی است؟,1
 سابرینا ویکتوریا ا سپل من یک شخصیت خیالی  از چه سازمانی است؟,1
 آب اسپید گوزنان ، روستایی از توابع کجا در استان کهگیلویه و بویراحمد ایران است؟,1
 آب اسپید گوزنان ، روستایی از توابع بخش لوداب شهرستان بویراحمد در کجا است؟,1
کجا، روستایی از توابع بخش لوداب شهرستان بویراحمد  است؟,1
کجا ،در استان کهگیلویه و بویراحمد ایران است؟,1
 آب اسپید گوزنان ، روستایی از توابع کجا است؟,1
 آب اسپید گوزنان ، در کجا است؟,1
 آآرونشونیا چه چیزی است؟,1
 چه چیزی نام یک سرده از تیره کاسنیان است؟,1
 آآرونشونیا نام یک سرده از چه چیزی است؟,1
 آب الوان ، روستایی از توابع کجا در استان کهگیلویه و بویراحمد ایران است؟,1
 آب الوان ، روستایی از توابع بخش بهمئی گرمسیری شهرستان بهمئی در کجا است؟,1
 آب الوان ، روستایی از توابع کجا است؟,1
 آب الوان ، روستایی در کجا است؟,1
 باب المقام یک فیلم به کارگردانی محمد ملص است که در چه زمانی منتشر شد؟,1
 باب المقام یک فیلم به کارگردانی چه کسی است؟,1
 باب المقام  در چه زمانی منتشر شد؟,1
 تابستان لغی زار ، روستایی از توابع کجا در استان کهگیلویه و بویراحمد ایران است؟,1
 تابستان لغی زار ، روستایی از توابع بخش مرکزی شهرستان بهمئی در کجا است؟,1
کجا ، روستایی از توابع بخش مرکزی شهرستان بهمئی  است؟,1
کجا، در استان کهگیلویه و بویراحمد ایران است؟,1
 تابستان لغی زار ، روستایی از توابع کجا است؟,1
 تابستان لغی زار  در کجا است؟,1
 ساراگوسا پایتخت کجا در کشور اسپانیا است؟,1
 ساراگوسا پایتخت بخش خودمختار آراگون در کجا است؟,1
 کجا پایتخت بخش خودمختار آراگون است؟,1
 کجا در کشور اسپانیا است؟,1
 ساراگوسا در کجا است؟,1
 ساراگوسا پایتخت کجا است؟,1
 جابر حقوی یک ورزشکار اهل کجا است؟,1
 جابر حقوی هل کجا است؟,1
چه کسی اهل عربستان سعودی است؟,1
 حاج علی خان مقدم مراغه‌ای ملقب به حاجب الدوله ، ضیاءالملک و سرانجام اعتمادالسلطنه ، از رجال چه زمانی است؟,1
 حاج علی خان مقدم مراغه‌ای  از رجال چه زمانی است؟,1
 حاج میربهاءالدین زنجانی از تجار و خیرین کجا بوده است؟,1
 خار گاومیش چه چیزی است؟,1
 خار گاومیش نام چه چیزی است؟,1
 خار گاومیش نام یک گونه از سرده چه چیزی است؟,1
 آآدونتای تاجدار نام چه چیزی است؟,1
 آآدونتای تاجدارچه چیزی است؟,1
 آآدونتای تاجدار نام یک گونه از سرده چه چیزی است؟,1
 تو مرا دیوانه کردی یا با عشق ازدواج کن فیلمی محصول سال ۲۰۰۶ و به کارگردانیچه کسی است؟,1
 تو مرا دیوانه کردی یا با عشق ازدواج کن فیلمی محصول چه زمانی است؟,1
 تو مرا دیوانه کردی یا با عشق ازدواج کن فیلمی به کارگردانی چه کسی است؟,1
چه چیزی  فیلمی محصول سال ۲۰۰۶ و به کارگردانی راج کانوار است؟,1
چه چیزی فیلمی محصول سال ۲۰۰۶ است؟,1
چه چیزی فیلمی به کارگردانی راج کانوار است؟,1
 ثریا اسفندیاری بختیاری چندمین همسر محمدرضا شاه پهلوی و ملکه ایران بود؟,1
 ثریا اسفندیاری بختیاری دومین همسر چه کسی و ملکه ایران بود؟,1
 ثریا اسفندیاری بختیاری دومین همسر محمدرضا شاه پهلوی و ملکه کجا بود؟,1
 ثریا اسفندیاری بختیاری چندمین همسر محمدرضا شاه پهلوی بود؟,1
 ثریا اسفندیاری بختیاری  همسر چه کسی و ملکه ایران بود؟,1
 ثریا اسفندیاری بختیاری همسر محمدرضا شاه پهلوی و ملکه کجا بود؟,1
 ثریا اسفندیاری بختیاری  همسرچه کسی بود؟,1
 حاج آباد عرب‌ها ، روستایی از توابع کجا در استان تهران ایران است؟,1
 حاج آباد عرب‌ها ، روستایی از توابع بخش جوادآباد شهرستان ورامین در کجا است؟,1
 حاج آباد عرب‌ها ، روستایی از توابع کجا است؟,1
 حاج آباد عرب‌ها ،در کجا است؟,1
 میرزا آقا امامی نقاش کجایی و هنرمند جلدهای سوخت بود؟,1
 میرزا آقا امامی نقاش کجایی بود؟,1
 خاربیتسه دولنه یک روستا در کجا است که در گمینا لوتومیرسک واقع شده است؟,1
 خاربیتسه دولنه یک روستا در لهستان است که در کجا واقع شده است؟,1
 خاربیتسه دولنه یک روستا در کجا است ؟,1
 خاربیتسه دولنه در کجاواقع شده است؟,1
کجا یک روستا در لهستان است ؟,1
کجا  در گمینا لوتومیرسک واقع شده است؟,1
 اسکار د مارکوس آرانا بازیکن فوتبال اهل کجا است که در پست هافبک برای اتلتیک بیلبائو در لالیگا بازی می‌کند؟,1
 اسکار د مارکوس آرانا بازیکن فوتبال اهل اسپانیا است که در پست هافبک برای چه سازمانی در لالیگا بازی می‌کند؟,1
 اسکار د مارکوس آرانا بازیکن فوتبال اهل اسپانیا است که در پست هافبک برای اتلتیک بیلبائو در کجا بازی می‌کند؟,1
 اسکار د مارکوس آرانا بازیکن فوتبال اهل کجا است؟,1
 اسکار د مارکوس آرانا  در پست هافبک برای چه سازمانی در لالیگا بازی می‌کند؟,1
 اسکار د مارکوس آرانا  در پست هافبک برای اتلتیک بیلبائو در کجا بازی می‌کند؟,1
 اسکار د مارکوس آرانا بازیکن فوتبال اهل کجا است برای اتلتیک بیلبائو در لالیگا بازی می‌کند؟,1
